title,date_published,author,comments_count
Windows 10 удалось обогнать Windows 7 на американском рынке,2017-01-26T08:00:00+00:00,Sleepp,0
Аналитики предсказывают будущее ассистентов для &quot;умного&quot; дома,2017-01-26T07:00:00+00:00,Котейко,13
Google открывает разработчикам доступ к магазину приложений Daydream VR,2017-01-26T06:30:00+00:00,Wadym72,12
Беспроводные наушники Sola заряжаются от солнечной энергии,2017-01-26T06:00:00+00:00,Котейко,18
Стримеры с Twitch за год заработали на пожертвованиях более $100 миллионов,2017-01-26T05:00:00+00:00,Oleg Prince,121
"Инсайды #847: BlackBerry Mercury, ZTE Blade V8 Lite, Meizu M5S и обновление для Apple Watch",2017-01-25T20:39:16+00:00,Ekzer,67
Первый смартфон с камерой ночного видения Lumigon T3 представлен в России ,2017-01-25T19:56:00+00:00,Wadym72,129
Instagram запускает функцию онлайн-трансляций,2017-01-25T19:00:00+00:00,Wadym72,20
С ума сойти: психиатры комментируют Resident Evil 7 и виртуальные ужасы,2017-01-25T18:10:00+00:00,News,91
Lineage OS сравнили с CyanogenMod,2017-01-25T18:00:00+00:00,Wadym72,90
Adobe перенесёт часть своих Android-приложений на Chrome OS,2017-01-25T17:00:00+00:00,Wadym72,39
Специалисты рассказали о проблемах с VPN-приложениями на Android,2017-01-25T16:30:00+00:00,Котейко,56
Что купить для Apple iPhone 6,2017-01-25T16:23:14+00:00,Ekzer,24
Разработчики Alto’s Adventure и Skate Lines объединились для создания игры про скейтеров,2017-01-25T16:00:00+00:00,Scar1989,8
Google отключает Chrome Sync API в сторонних Android-браузерах,2017-01-25T15:00:00+00:00,Wadym72,60
Ночной режим из macOS Sierra 10.12.4 продемонстрировали в работе,2017-01-25T14:40:59+00:00,Ekzer,50
Hitman переосмыслят специально для хардкорщиков,2017-01-25T14:40:17+00:00,Oleg Prince,22
"Инсайды #846: Xiaomi Mi5C, Huawei Watch 2, продвинутая Siri и пульсометр для HTC Vive",2017-01-25T13:30:36+00:00,Ekzer,79
iOS 10.3 переведёт Apple-устройства на новую файловую систему,2017-01-25T12:55:00+00:00,Wadym72,175
Создатели Battlefield 1 озвучили все подробности дополнения They Shall Not Pass,2017-01-25T12:29:19+00:00,Oleg Prince,52
Dell анонсирует защищённые ноутбуки-трансформеры на Windows и Chrome OS,2017-01-25T11:34:00+00:00,Wadym72,24
Скидки на приложения и игры для iOS: 25 января,2017-01-25T11:26:13+00:00,Strelka92,2
Google выпускает последнюю бета-версию Android Wear 2.0,2017-01-25T11:09:03+00:00,Wadym72,19
Характеристики железа Project Scorpio утекли в сеть,2017-01-25T10:52:52+00:00,Oleg Prince,162
ASUS и Acer представили новые хромбуки для сферы образования,2017-01-25T10:47:02+00:00,Котейко,38
Скидки на приложения и игры для Android: 25 января,2017-01-25T10:38:28+00:00,Strelka92,14
Google I/O 2017: дата и место проведения,2017-01-25T10:22:26+00:00,Wadym72,22
Первое дополнение к Resident Evil 7 выйдет уже на следующей неделе,2017-01-25T10:14:40+00:00,Oleg Prince,32
Владельцам Xiaomi Redmi Note 4 стала доступна бета-версия Android Nougat,2017-01-25T10:00:00+00:00,Wadym72,120
Разработчики Lineage OS расширили список поддерживаемых устройств,2017-01-25T09:30:00+00:00,Wadym72,84
Windows 10 удалось обогнать Windows 7 на американском рынке,2017-01-26T08:00:00+00:00,Sleepp,0
Аналитики предсказывают будущее ассистентов для &quot;умного&quot; дома,2017-01-26T07:00:00+00:00,Котейко,13
Google открывает разработчикам доступ к магазину приложений Daydream VR,2017-01-26T06:30:00+00:00,Wadym72,12
Беспроводные наушники Sola заряжаются от солнечной энергии,2017-01-26T06:00:00+00:00,Котейко,18
Стримеры с Twitch за год заработали на пожертвованиях более $100 миллионов,2017-01-26T05:00:00+00:00,Oleg Prince,121
"Инсайды #847: BlackBerry Mercury, ZTE Blade V8 Lite, Meizu M5S и обновление для Apple Watch",2017-01-25T20:39:16+00:00,Ekzer,68
Первый смартфон с камерой ночного видения Lumigon T3 представлен в России ,2017-01-25T19:56:00+00:00,Wadym72,129
Instagram запускает функцию онлайн-трансляций,2017-01-25T19:00:00+00:00,Wadym72,20
С ума сойти: психиатры комментируют Resident Evil 7 и виртуальные ужасы,2017-01-25T18:10:00+00:00,News,91
Lineage OS сравнили с CyanogenMod,2017-01-25T18:00:00+00:00,Wadym72,90
Adobe перенесёт часть своих Android-приложений на Chrome OS,2017-01-25T17:00:00+00:00,Wadym72,39
Специалисты рассказали о проблемах с VPN-приложениями на Android,2017-01-25T16:30:00+00:00,Котейко,56
Что купить для Apple iPhone 6,2017-01-25T16:23:14+00:00,Ekzer,24
Разработчики Alto’s Adventure и Skate Lines объединились для создания игры про скейтеров,2017-01-25T16:00:00+00:00,Scar1989,8
Google отключает Chrome Sync API в сторонних Android-браузерах,2017-01-25T15:00:00+00:00,Wadym72,60
Ночной режим из macOS Sierra 10.12.4 продемонстрировали в работе,2017-01-25T14:40:59+00:00,Ekzer,50
Hitman переосмыслят специально для хардкорщиков,2017-01-25T14:40:17+00:00,Oleg Prince,22
"Инсайды #846: Xiaomi Mi5C, Huawei Watch 2, продвинутая Siri и пульсометр для HTC Vive",2017-01-25T13:30:36+00:00,Ekzer,79
iOS 10.3 переведёт Apple-устройства на новую файловую систему,2017-01-25T12:55:00+00:00,Wadym72,175
Создатели Battlefield 1 озвучили все подробности дополнения They Shall Not Pass,2017-01-25T12:29:19+00:00,Oleg Prince,52
Dell анонсирует защищённые ноутбуки-трансформеры на Windows и Chrome OS,2017-01-25T11:34:00+00:00,Wadym72,24
Скидки на приложения и игры для iOS: 25 января,2017-01-25T11:26:13+00:00,Strelka92,2
Google выпускает последнюю бета-версию Android Wear 2.0,2017-01-25T11:09:03+00:00,Wadym72,19
Характеристики железа Project Scorpio утекли в сеть,2017-01-25T10:52:52+00:00,Oleg Prince,162
ASUS и Acer представили новые хромбуки для сферы образования,2017-01-25T10:47:02+00:00,Котейко,38
Скидки на приложения и игры для Android: 25 января,2017-01-25T10:38:28+00:00,Strelka92,14
Google I/O 2017: дата и место проведения,2017-01-25T10:22:26+00:00,Wadym72,22
Первое дополнение к Resident Evil 7 выйдет уже на следующей неделе,2017-01-25T10:14:40+00:00,Oleg Prince,32
Владельцам Xiaomi Redmi Note 4 стала доступна бета-версия Android Nougat,2017-01-25T10:00:00+00:00,Wadym72,120
Разработчики Lineage OS расширили список поддерживаемых устройств,2017-01-25T09:30:00+00:00,Wadym72,84
Новый вирус Skyfin незаметно загружает приложения из Google Play,2017-01-25T09:00:00+00:00,Wadym72,69
Chrome OS переберётся на планшетные компьютеры,2017-01-25T08:30:00+00:00,Wadym72,55
Blizzard бесплатно раздаёт стратегию StarCraft II,2017-01-25T07:50:00+00:00,Oleg Prince,88
Инженеры Microsoft рассказали о &quot;начинке&quot; Surface Hub,2017-01-25T07:00:00+00:00,Котейко,12
Samsung видит будущее смартфонов в искусственном интеллекте,2017-01-25T06:30:00+00:00,Wadym72,44
"Intel рассказывает, как родители следят за онлайн-активностью детей",2017-01-25T06:00:00+00:00,Котейко,20
Искусственный интеллект от Google будет создавать и обучать другие искусственные интеллекты,2017-01-25T05:30:00+00:00,Wadym72,109
